"人气排序","小说名称","作者","小说类型","总点击数","会员周点击数","总字数","评论数","评分","小说性质","写作进程","授权状态","更新时间","内容简介"
1341,"剑啸仙神路","岱宗君","武侠小说",68899,4,511467,388,0,"VIP作品","暂　停","Ａ级","2015/8/30 18:05","　　此书已经暂停，新书已经上传《神域之大圣传》。
???     望诸位书友原谅停更，从而观看我的新书，我希望这本书可以弥补我停更犯下的错。感谢！~"
1342,"高二病也要谈恋爱","马踏燕飞","都市小说",80925,10,1350622,3050,9.7,"公众作品","已经完本","Ａ级签约","2016/5/30 13:40","　　简介1：???     由于一段黑历史，打心底里讨厌女生的李小白发出了‘女孩子都去死吧’的宣言，谁知，为了治愈他的厌女症，重新调位后，班主任直接给他安排了两个女同桌。???     只是，两个班内最漂亮的女生一个胡搅蛮缠，一个冷若冰霜，怎么看也不正常的样子。???     于是，看似左拥右抱，实则是惨烈修罗场的校园生活开始了……???     简介2：???     中国版《我的青春恋爱物语果然有问题》。???     (VX公众号:VIPmatayanfei或马踏燕飞VIP)"
1343,"大明星系统","射手座李不二","职场小说",189598,100,2890518,1317,9.7,"公众作品","已经完本","签约作品","2016/4/13 12:24","　　06年落榜生得到系统，模仿重现各界文体巨星的技能，考入北影当学霸。
???     演员，歌手，名作家，运动员……只要是在未来视频上记录过的巨星，都可以通过程序让身体重现他们的表演与技能。
???     从此，大导演们为我争得头破血流，女明星们为我争锋吃醋，各大公司为我的签字费倾家荡产?"
1344,"无限杯花样作死大赛","虚幻漫步","科幻小说",144202,6,1711028,1668,10,"公众作品","已经完本","Ａ级签约","2015/11/2 0:31","　　无限杯花样作死大赛，等你来作死！
???     作死王，我当定了！
???     （看书前后，请务必记得吃药，谢谢！）"
1345,"仙傲","雾外江山","仙侠小说",6263875,65,3798987,17136,9.3,"公众作品","已经完本","Ａ级签约","2011/3/8 4:24","　　六域苍穹，豪杰辈出，三千左道，八百旁门。少年则成，踏上仙路，仙秦遗迹，远古洞府，轩辕剑派，剑鸠化形，十诀仙典，扬我神威，一剑在手，万人俯首，傲视乾坤，敢问天下谁是英雄。

???     焚烧残躯谢师恩，我辈都是无情人.

???     已经完本《红顶位面商人》《无上降临》

???     仙傲读者1群：29070586(满）

???     仙傲读者2群：108249053(满）

???     仙傲读者3群：57922415（满）感谢皇室七驸马

???     仙傲读者4群：52233452感谢花根儿提供

???     仙傲VIP群：100485025(到“VIP群成员,请进,验证粉丝值”这个帖子发言，验证粉丝值。）"
1346,"异界最强系统","雷杀","玄幻小说",330073,140,3775356,3568,10,"公众作品","新书上传","Ａ级签约","2016/9/2 19:00","　　什么，你问我学习灵技的速度为什么那么快？


???     呃，你说的是技能吧，这当然是一点就会的，难道你不是？


???     什么，你问我修炼难道没有瓶颈？


???     呃，你说的应该是转职任务吧？


???     ……


???     求订阅，求推荐！！！！！！！！！！

???"
1347,"提督大人的星空幻想之旅","重装雷巡北上","科幻小说",61937,2,542817,496,10,"公众作品","已经完本","Ａ级签约","2015/7/31 4:01","　　这是简介再改剁手版！

???     本书已完全弃疗向，

???     讲述一个外星提督和他的碧池舰娘们征服宇宙的故事！大概！

???     已经控制不了剧情的暴走，重口！慎入！

???"
1348,"轮回使徒成长记","黑暗福音","二次元小说",31042,4,284441,383,0,"VIP作品","暂停","专属作品","2016/3/25 12:15","　　一个平庸之人依靠主神的强化在各动漫界成长的故事。
???     看着主角在特殊的单人小队之中慢慢成长为一代强者的过程。
???     拥有强烈性念的平庸之人，是否可以超越天才？
???     但，他真的是单纯的平庸之人吗？
???     穿越，平庸的人真的会遇到吗？
???     一切的真相都是未知的。
???     穿越世界的_序_定_《刀_神域：SAO篇》→《魔法少女奈_》→《刀_神域：ALO篇》→《妖精的尾巴：_之森篇and幽鬼篇》→《冰雪奇_：有_入》→《魔法少女奈_AS》→《新世_福音_士》→《_方幻想_：竹取物_篇》
???     之後的世界___定。
???     每周六、日是_乎一定_更新一章的，其他__就看情_。
???"
1349,"二次元没有主角","忘梦的旅人","二次元小说",228090,108,3031458,1989,10,"VIP作品","连载中","Ａ级","2016/9/28 3:55","　　——世界在交集着，渴望拯救他人者与不放弃希望者互为同类
???     ——世界在变化着，以笑容面对罪恶者与逃避苦痛者相互紧拥
???     ——世界在前进着，选择众人共济者与独自肩负责任者放下刀剑
???     ——紧抿唇舌、此处为被遗弃者书写之所
???     注：本书交杂极多人名、设定、脑洞外加私货，倘若不懂可寻求度娘帮助以及加群或是书评区询问，谢谢合作
???     注2：本人隶属同人写手联盟"
1350,"东京_种之夏新池","骨头控","二次元小说",67987,1,121193,683,10,"VIP作品","连载中","专属作品","2016/8/29 5:30","　　【东京食尸鬼同人】
???     胡说八道的恶搞简介。
???     “太阳当空照，店长对我笑。店长说，来来来，来我店里我送你妹纸。”
???     “现在回想起来，当初我应该一刀劈死这个老神棍的！！”
???     “其实，当年我只想做一名安静的CCG美男子的。直到，我遇到了……”
???     ——一脸唏嘘的夏新池。
???     一本正经的官方简介。
???     十年前，芳村功善带着年幼的夏新池来到二十区开了一家_种咖啡厅做起了店长。
???     这是个讲一个人类混进古董咖啡厅里的故事。
???"
1351,"帝国法则","污点","奇幻小说",130825,144,2578424,508,9.2,"公众作品","连载中","签约作品","2016/1/15 23:39","　　“我来到，我看见，我征服。”
???     瞥了眼书记官送上来《大帝传记》扉页上的第一句话。
???     正在用餐的凯恩陛下，撕下精致的精装版书纸擦了擦手。
???     “溜须拍马的家伙，不过，我喜欢。”
???     本书写的是一个现代人穿越到一个没有魔法、斗气的世界后。
???     如何利用脑中的知识，从一个小领主一步步成为世界上最强大帝国国王的。
???     新书《暗夜主宰》欢迎大家捧场。
???     老书友群是朋友建的，自己刚建了个书友群：412085527有相加的朋友可以加进来。
???"
1352,"金庸之庐山祖师","重登","武侠小说",91440,54,250195,231,8,"VIP作品","新书上传","驻站作品","2015/7/1 21:13","　　丁庐穿越到金庸世界，创立庐山派。"
1353,"凌天传说","风凌天下","玄幻小说",13665814,56,2490381,16628,7.6,"公众作品","已经完本","Ａ级签约","2010/3/18 21:13","　　我名凌天，我欲凌天！
???     穿越到异世的武学天才，超卓的武功，绝世的智慧；且看凌天如何在异世只手舞风云，左右逢源、文武双绝、威动天下；造就一个永恒的凌天传说！
???     翻云覆雨天假手，兴衰两世我独狂！
???     谈笑之中风云舞，剑气凌风任飞扬
???"
1354,"超级黄金瞳","泡不起妞的残狼","都市小说",1371579,191,5060921,3423,9.3,"公众作品","新书上传","Ａ级签约","2016/10/20 6:29","　　吊车尾的学生偶得透视神瞳，从此风云化龙，捡漏赌石，鉴宝品玉，赌场纵横，无往不利！

???     各色美女也是纷至沓来！

???     刘涛的世界，因为透视而强大，他终将站在都市的顶峰，成为统领众人的王中之王！???"
1355,"火影之大魔王","消逝的过往","二次元小说",192767,22,937865,1522,0,"VIP作品","情节展开","专属作品","2016/10/9 20:09","　　穿越到了火影的世界，却发现处于战火纷飞的战国时代！
???     我的名字是辉！忍界的光明，将在我手上绽放！"
1356,"神奇宝贝的新小智","电磁波导","二次元小说",74869,1,412585,260,0,"VIP作品","新书上传","专属作品","2015/8/31 12:35","　　穿越小智+TV剧情+小部分剧情改编+少量原创人物+书评区里面提到的客串人物登场（喂，这种简介大丈夫吗？）"
1357,"全球偶像","龙要南瓜","职场小说",358471,43,513741,804,9.9,"VIP作品","新书上传","专属作品","2016/8/27 22:56","　　重生了，对未来一点记忆都没有的聂哲，有的只有一个MP3。而MP3里的歌在这个世界却从来没有出现过。
???     “我想当科学家，不想成为歌手呀！”
???     “你是我一生的对手，你不当歌手，我怎么打败你！”—崔准熙
???     “呀，允儿大婶，你又偷吃我零食。”
???     “再烦，我下次带秀英来。”—林允儿
???     “西卡前辈，你，你，你好。”
???     “说了多少次了，小子，要叫秀妍nuna！”—西卡
???     “哈，你别过来啊，要是被某人知道，我们就完了！”
???     “没事，没事，在日本，她管不着你哦！”—渡边麻友
???     我只想在韩国混混的，没想到成为了全球偶像。"
1358,"冰火魔厨","唐家三少","奇幻小说",17481696,47,2146458,4890,9.3,"公众作品","已经完本","Ａ级签约","2016/1/10 21:04","　　七柄绝世神刃。冰雪女神的叹息——晨露刀。火焰之神的咆哮——正阳刀。自由之风的轻吟——傲天刀。大地苏醒的旋律——长生刀。神机百变的六芒——璇玑刀。贯通天地的曙光——圣耀刀。永世地狱的诅咒——噬魔刀。这是七柄神刀，也是七柄拥有着冰、火、风、土、空间、光明、黑暗的魔法杖。最重要的，它们还是主角的——菜刀。"
1359,"超级创作大师","普顿","都市小说",797659,103,4644277,6329,9.2,"公众作品","已经完本","Ａ级签约","2016/7/23 10:10","　　带着一款超科技世界的可以让人拥有逆天创作天赋的创作软件，李明辉重生了在了一个类似地球的平行空间，于是他在这个世界风云了。???     他是最为顶级的网文大神，《诛仙》《小兵传奇》等等超级经典出自他手。???     他是顶级音乐大师，一首首震惊世界的神曲，只是他随心而作。???     他是金牌编剧，电视剧收视率神话的上演，电影票房的记录，只是他一个人的舞台。???     他是本世纪最佳天才，他是无与伦比的创作大师！————《世界时报》
???     ps:本书书友群：118677056"
1360,"我的霜之哀伤不可能这么萌","白夜叉银时","游戏小说",179291,31,3358929,3272,10,"公众作品","新书上传","Ａ级签约","2016/10/23 1:56","　　黑暗之门开启后二十年，洛丹伦的王子阿尔萨斯拔出了魔剑霜之哀伤，亡灵天灾席卷艾泽拉斯；七年之后，灰烬审判军攻陷冰冠堡垒，大领主提里奥弗丁击杀阿尔萨斯，毁掉了霜之哀伤，一场动乱就此结束。
???     得到霜之哀伤之后，阿尔萨斯背叛了自己的王国，抛弃了自己的人民，杀死了自己的父亲和老师；如果一切重头来过，他会做出不同的选择么？
???     时间的长河中闪过一朵不起眼的浪花，故事的发展拐向了一条新的支流，前方的未来，是青铜龙王诺兹多姆都无法看穿的迷雾；萨尔，吉安娜，加尔鲁什地狱咆哮，在扭转的时间面前，我们所熟知的一切人物和事件，会迎来怎样不为人知的结局？
???"
1361,"元首的愤怒","落爷孤独","历史小说",480590,34,1180720,3877,9.8,"公众作品","已经完本","Ａ级签约","2016/3/2 17:57","　　现代德粉李默居然穿越到二战德国，还是克虏伯的独子。人生地不熟怎么混？战火纷飞怎么活？？???     元首轰隆隆的战车碾压世界，德军以区区一国之力挑战整个世界，当盟军兵临城下之时，你也别怒火万丈，咒骂昔日部下的背叛和抛弃，我的元首，这是你自己作死，怨不得别人啊！???     （申明：我们崇尚德军，是崇尚他们的忠诚和勇敢、爱国和奉献、坚强和不屈、荣誉和牺牲，以及那日耳曼民族特有的勤奋和严谨作风，与纳粹无关、与法西斯无关，本人坚决反对大屠杀和极端种族主义。纵观当今局势，我们与战前德国的战略处境何其类似。因此，我们所要做的是更加爱国、更加坚强、更加勇敢，更加紧密地团结在一起，建设好我们伟大的祖国。）"
1362,"武侠大棋局","键盘上的棋子","科幻小说",157353,11,2271646,1263,10,"公众作品","新书上传","Ａ级签约","2016/5/20 19:40","　　棋手，是棋子的绝对王者。
???     是否有人愿意成为那生死不由己的棋子？
???     天地为棋局，众生为棋子，可这众生，也有冲破天地的一日，也有打碎棋盘的那一天！
???     被该死的主神遴选棋子、棋手，身不由己地投入到主神的棋局内打拼。
???     作为棋子的赵天伦最终走上了打碎棋局的道路。
???     这是一部无限武侠类，题材截取于金系、黄系以及历史上著名的战役。
???     这是一部希望可以圆梦的无限系列，圆一个武侠梦，圆一个铁血梦。
???     文青是病，痊愈太难，唯有缓图之。
???"
1363,"宅男的动漫之旅","宅的试炼","二次元小说",29372,2,198683,260,0,"VIP作品","新书上传","专属作品","2015/4/18 20:54","　　世界是很大的，大到你无法想象，作为一名动漫穿越者你有什么感想吗？
???     “我的想法就是，先活着，然后变强，最后是收妹子……”韩皓如此说道。
???     “明明是个拥抱都会害羞的男人，居然还敢开后宫！！姐妹们！！起义的时候到了！！”
???     “等等……说好的不准打脸，小奏？！你也来补刀？！啊……”
???     本书所讲的世界路线为：死后世界—dogdays—无头骑士异闻录……后面的待定。"
1364,"神级演技派","不如安静","都市小说",685417,48,1621532,2878,9.3,"公众作品","已经完本","Ａ级签约","2015/1/27 23:42","　　他和孙洪雷一起演《征服》！
???     他是所有导演最爱的硬汉演技派！
???     他是第一个让大陆影迷彻底爱上硬汉演技派的演员！
???     他，叫邵英雄。"
1365,"唐门高手在异世","莫默","玄幻小说",8745649,27,3536683,12273,9.4,"公众作品","已经完本","Ａ级签约","2012/10/18 13:59","　　宁遇阎罗王，莫惹唐门郎！
???     行走在黑暗之中，卑鄙却不失本性，无耻却不丢风度的勾魂使者！
???     一个唐门弟子重生到一个全是女子组成的门派之后的故事。
???     老天顺我老天昌，老天逆我叫他亡！
???     ……………………
???"
1366,"神奇宝贝之灾厄","懒得个性","二次元小说",233433,22,1236440,1721,10,"VIP作品","连载中","专属作品","2016/10/22 23:30","　　一个救援队的故事；???     一个旅行与战斗的故事；???     一个有许多奇怪人物的神奇宝贝世界（综漫向）；???     不幸之人与灾祸之兽，这次的主角是上条当麻与阿勃梭鲁；（虽然有时候会忘记神奇宝贝什么的......）???     纯爱、上all向，不止是主角，这次就是要让所有人幸福的意思。???     ???     ps1：真实系,一个尽量科学的世界；???     ps2：神奇宝贝对战，想看幻想杀手大战XXX什么的先要说声抱歉；???     ps3：纯脑补，漏洞什么的肯定会有，有建议或是意见的就直接说撒；???     以上。"
1367,"赝医","望平安","历史小说",598475,4,2535708,1720,8.6,"公众作品","已经完本","Ａ级签约","2015/10/5 11:59","　　杨泽，一个现代小医生，在吃方便面时，不知怎么的，灵魂竟然被吸入进了碗里，重生到了古代，一个女主当朝，名为大方帝国的国度，这个国度和中国历史上的唐朝极为相似，却又不是唐朝。
???     在这里，杨泽利用自己的医学知识，还有超级无敌的好运气，穿梭在朝堂之上，游历于州县之间，成为这个时代里，最耀眼的名医，最能干的大官，英俊少年，人见人爱，花见花开……"
1368,"明瓦","高架红绿灯","历史小说",544332,0,310110,644,10,"公众作品","新书上传","Ａ级签约","2015/3/22 21:10","　　挽社稷于既倒？解黎民于倒悬？
???     狗屁！老子只想要位高权重没人管，金银多的花不完！最重要的是娇妻美眷日日换
???     努尔哈赤，你送给我的汗血宝马种不纯吧？
???     丰臣秀吉，你下手轻点，捶腿都不会吗？
???     德川家康，那个……尊夫人在家吗？
???     你问我是谁？我TMD就是一片瓦，一片大明的瓦！"
1369,"生肖守护神","唐家三少","都市小说",18770195,27,3009517,3963,9.1,"公众作品","已经完本","Ａ级签约","2009/12/15 17:32","　　十二生肖，象征着十二个月份，但是，没有人知道，他们也象征着十二位守护者。十二位传承着生肖血脉的守护者。他们拥有着自身属相的能力，默默的守卫着东方。
???     麒麟，东方的祥瑞，当拥有麒麟血脉的王者降临时，他将统御十二生肖为守护东方而贡献出自己全部的力量。
???     痞子麒麟，纵横人间，都市神话，十二生肖，尽在本书之中。"
1370,"娇妻如云","上山打老虎额","历史小说",5851288,50,3169544,10555,9.3,"公众作品","已经完本","Ａ级签约","2012/4/22 8:56","　　史上最具艺术天赋的大盗，穿越到了北宋徽宗四年。身为祈国公府仆役，沈傲很欢乐，知识改变命运，智商决定前途，什么都是浮云，看我只手遮天。 玩的是艺术，讲的是品味。伪作最好的名画，写最漂亮的行书，不走寻常路，会忽悠才是王道。"
1371,"魔法与科学的最终兵器","千年帝国海军上校","奇幻小说",707867,73,2503517,4215,9.4,"公众作品","新书上传","Ａ级签约","2016/10/6 15:57","　　不着寸缕的美少年注视着匍匐在眼前的有翅爬行类，那自踏上异界土地以来一直紧闭的唇线开始变换，声音出现在幽暗的意识空间。
???     “判定计划主导及相关人员全数死亡，与地球方面联络完全中断。进入自行行动模式。变更登录名为预定完全体【李林】。结合当前情况，自主选择任务B4。”
???     有了李林这个名字的少年顿了一下，声音仿佛带上了地狱最深处的冰霜寒意。
???     “渗透、侵入低程度文明，将其殖民地化，地球化。”
???     一个最终兵器少年，在魔幻的异界闻到了相同的味道——战争。
???     于是，他开始继续自己的使命。
???"
1372,"洪荒之截教首徒","死神之翼0","仙侠小说",459551,79,1231967,734,5.6,"公众作品","已经完本","签约作品","2016/9/10 13:37","　　重生洪荒，成为截教首徒，肩负中兴截教的重任。奈何神通不及天数，圣人之下，一切皆为蝼蚁，元雷想要中兴截教谈何容易啊。"
1373,"不一样的2015","我的夫人萌萌哒","职场小说",64295,5,477924,664,10,"VIP作品","已经完本","专属作品","2016/5/16 1:19","　　因为一个牛逼哄哄的土豪出现，世界发生改变。原《韩娱之王子骑士》，简介不多说，稍微修改了下。希望大家继续支持，么么哒！！"
1374,"不朽星空","废稿三千","科幻小说",575743,101,2002394,1835,9.5,"公众作品","已经完本","Ａ级签约","2015/7/23 1:07","　　“六足黑赤虫，七阶精英虫兽，吸收了它，我应该就能冲到八阶了。”
???     “巨爆雷龙兽，青铜级血统，体型有一颗小行星般庞大，若是吸收了它，我立马就能冲击黑洞级了！”
???     “混元白列象，混沌灵兽中的极品，是个难缠的家伙，不过只要吸收了它，我的生命指数就能破万了……”
???     王须，意外之下得到一枚能够吞噬虫兽，将能量转化为自身的火焰，从此一路横扫，星空不朽！
???     ————————————————————————————————
???     新书《地球上最后一个异能者》已发布，求推荐，求收藏！
???"
1375,"我与五更琉璃的日常","高坂穗乃果","二次元小说",52026,1,220908,1966,10,"VIP作品","情节展开","专属作品","2016/4/6 19:20","　　这是一个平常的不得了的风和日丽的早上。
???     歌留多（指着屏幕上的EVA）：你看这个动画的男主角好纠结的样子哦~
???     琉璃（捂脸）：......那你又想表达些什么？
???     歌留多：其实这也不怪他也不一定，你看啊~这个机器也太傻了吧。连自己都不能把握性能，不能投入实战吧？还有如果是角的话，起码要涂成红吧！而且居然还是电缆......
???     琉璃：求别说啊！人类的希望求别说啊！
???     歌留多（义正言辞）：而且更加重要的是，里面都是水也太脏了吧？而且EVA喊起来也比较绕口吧？
???     琉璃：我已经知道你想说什么了！但别毁童年啊！
???     歌留多：其实真嗣想开的其实是高达不是吗？
???     话说，我家的天使大人是从什么时候开始懂得这些知识的啊！——BY抓狂的五更琉璃。"
1376,"位面之神级商人","狂小子唐天","科幻小说",50446,6,38051,243,0,"VIP作品","已经完本","专属作品","2016/9/9 22:47","　　漫威世界有了安布雷拉公司，超级英雄的世界变的不一样了，安布雷拉掌控着‘天网’、‘红后’、‘智脑维基’、‘超验骇客’这些人工智能意味着什么，漫威世界降临的变形金刚，明日边缘的外星人，铁血战士，异形，环太平洋中的怪兽，隐藏在黑暗中的林中小屋，黑夜传说.....，
???     安布雷拉公司掌控者前轮回者科技流强者唐天无奈的摇了摇头说道；“看来穿越了这个世界也不平静只能遇强则强了，接者买军火，让科技神教的福音传遍漫威。”"
1377,"九棺","山河万朵","仙侠小说",384023,22,3018067,2797,9.8,"公众作品","精彩纷呈","Ａ级签约","2016/10/19 19:00","　　万古之前，三界混沌之力，天地大势孕育九口奇棺，分散浩宇不被人知。
???     魔棺、鬼棺、妖棺、神棺、仙棺、佛棺……
???     九棺各具奇异无上威能，万万载，无人参透。浩宇传说，九棺得一，可镇三界！
???     神秘的穿越少年阿木，棺材店学徒。机缘巧合，成为残破魔棺的主人，踏血而修，开启万万载轮回之门。
???     仙寂，魔灭，佛涅，妖亡！原来，我是应劫而生之人，万万载前，有那么多传奇的故事。因此，我要九棺合一，唯我独尊！
???     九棺交流群：128397852
???     九棺订阅群：54260508（新，需要订阅验证）欢迎大家
???"
1378,"魔幻版主神成长日志","迷茫的蛇","科幻小说",468924,47,1089796,2657,9.6,"公众作品","已经完本","Ａ级签约","2015/9/30 13:33","　　主神空间的光辉开始笼罩了异世界!

???     无数异世界的种族们开始体验无限空间的旅途!

???     PS：就是一个新生主神空间在魔幻世界中的成长过程罢了。

???     PS：已有350万字完本作品《电脑中的幻想世界》，可以放心本人的信誉！"
1379,"凡人同人之超仙","续立","二次元小说",223293,3,3043726,2618,9.6,"公众作品","已经完本","书坊签约","2015/3/7 11:47","　　本续集从韩立渡劫飞升仙界开始，续写凡人修仙传里韩立在真仙界各种精彩故事,有连续性，较贴近原作，定可吸引你的目光。
???     依笔者续立看来，凡人在前面灵界基础上已同阶无敌,更何况还带上四位各具特色的帮手，飞升地大物博的真仙界自然如鱼得水。真仙界中,只要有仙灵石,也就是说有足够购买力,加上相应资质,升阶只是时间问题,不过韩立身负马良命案,被仙界所不容的炼神禁术,当然还有至宝掌天瓶,种种限制让韩立未能安稳潜修,究竟韩立将会走何仙途,敬请赏览.
???     新书亵变已发，下面是简介，敬请关注。
???     亵玩_游戏人世间的态度！
???     变化_只为求生存的手段！
???     玩！玩尽世间可玩物！
???     尽！男人！女人！逆吾众人！
???     杀！杀诛任何挡路者！
???     绝！仙家！魔家！浩翰凡尘！
???     他的出身，有点滑，有点邪，有点色，为求续命，不择手段，路在何方，以众命铺之！
???     另求月票，求推荐，求收藏，求打赏"
1380,"末世重生之龙帝","天不负01","科幻小说",2030014,61,3060932,7017,9.4,"公众作品","新书上传","Ａ级签约","2016/7/11 0:01","　　一场莫名的七彩光雨，拉开了末世的序幕！???     凶残的丧尸，狂暴的变异兽，处处危机！???     多样的进化，神奇的战技秘典，种种机遇！???     在末世之前重生，楚寒沿着前世的记忆，步步为营，一步步踏上巅峰！???     史前文明留下的遗迹，隐藏在历史中不为人知的真相，渐渐地揭开面纱！???     权术与美人交织，热血跟激情碰撞，一场前所未有的大进化时代，就此展开！"
1381,"赵沐阳的文玩人生","池塘生春草223","都市小说",145089,24,1420898,2588,10,"公众作品","新书上传","Ａ级签约","2015/6/12 23:52","　　拽文版：生活是杯酒，别人说什么没用，是酸是甜只有自己品了才知道，人生如场戏，不走上舞台亲自唱上几句，永远就只能是个听众。
???     自信者在别人的人生舞台上唱着主戏，自卑者却在自己的人生大戏中沦为配角。
???     通俗版：被势利准丈母娘棒打鸳鸯的倒霉蛋赵沐阳，因为喝闷酒意外激活了一串赵家祖传的神奇珠子，获得了左眼观形，右眼察色的特殊能力。赌石，赌树，赌青皮，识香，识玉，识美人，赵沐阳走上了一条精彩的文玩人生路。
???     咱就是好玩儿，不是专家，写的也不是教科书，有不对的地方玩友们多担待，当一故事看就好。
???"
1382,"变身志","天摩尼","二次元小说",52996,44,548520,2334,10,"VIP作品","新书上传","潜力签约","2015/10/12 15:25","　　一个普普通通的宅男突然有一天变成了女生，她的生活将发生怎样天翻地覆的巨大变化？

???     面对着身边的众多可爱的美女，却没法下手。

???     还要时时防备着觊觎自己身体的那些男生们。

???     难，难，难，做人难，做女人更难，做一个萝莉脸宅男心的美女实在是难上加难。"
1383,"走错片场的潜水舰","雷霆战斧EX","科幻小说",55700,12,265894,1235,10,"VIP作品","新书上传","专属作品","2015/12/20 22:33","　　舰娘大乱斗注意。
???     多穿注意。
???     各种不科学注意。
???     总之就是作者自己穿越到了自己的作品里，成了作品中【多余的人】，到底是跟着作品的主角混呢，还是另开天地和主角抢夺气运呢。
???     最后，深坑注意。"
1384,"带着空间闯美国","白码忘字","都市小说",491825,30,640430,1010,0,"公众作品","新书上传","Ａ级签约","2015/7/13 19:04","　　都市码农肖逸飞，偶然得到了埃及农神欧西里斯的空间，靠着空间中的线索，奔波万里，终于找到了他妹妹兼老婆伊西斯的空间。

???     凭借前任主人留下的财富，到美国买酒庄，开果园，开农场，买牧场，买林场。凡是跟农业、养殖业沾边的，他都想要插上一脚，并且还是一大脚。

???     他的目标就是，想活着，就得吃他种出来的，想活得更好，就要吃他养出来的。
???     PS：本文描写的是主角的日常生活，而不是其他牧场小说之类，请慎入。

???     PS：本文发生在加州，不是美国中西部大农村，因此有许多都市、商业等情节，不喜慎入。

???"
1385,"无上圣道","念头","玄幻小说",56693,10,2549664,107,6,"公众作品","连载中","签约作品","2015/7/12 14:57","　　天道不足凭，吾言可为法。
???     长剑可斩星辰，断刀可毁日月，双脚轻跺，大地沦陷；挥手当空，撕裂世界。
???     这是一个武道盛世，万族林立，各界争雄，三千星域强者横渡虚空，只为寻找通天之路。???     ???     ..........................
???     再次开了新书《九天踏仙》，希望各位兄弟支持下。无敌手机是我心中的一个遗憾，或许等有机会，会再次续写，很多想法都没有写出来。"
1386,"西游之妖龙","_大少","仙侠小说",52260,67,353700,589,0,"VIP作品","连载中","专属作品","2016/10/23 15:22","　　这是讲述从蛇到龙的进化史，更是一位妖族小人物到大能的故事。
???     同时也是如何从下界山大王如何一跃成为仙界实权人物的故事。更是一部妖佛仙之间的战争史，具体如何，且听我细细道来.....???"
1387,"天剑御道","梁乘辅","仙侠小说",1959072,12,1362968,5926,9.8,"公众作品","已经完本","Ａ级签约","2016/6/23 0:13","　　    这是由一团天地奇火引出的故事。???     新一代魔头的诞生，掀起了修真界新一轮的血雨腥风！???     层层迷局，步步惊心！???     当他以为自己已经将一切看得通透时，又哪知仍然身在局中......???     本书注重剧情，有完整的大纲，力求逻辑严谨，情节紧凑，绝不流水账！"
1388,"武道丹尊","暗魔师","玄幻小说",59395,74,2870533,139,9.3,"公众作品","已经完本","签约作品","2014/11/7 11:57","　　这是一个妖兽横行的大陆，妖兽占据城池，人类偏安一隅！
???     为了守护人类最后的家园，武者与妖兽展开了长达数千年的浴血对抗。
???     林萧本是地球上一个普通大学生，却无意中来到了这个以武为尊，遍布危机的苍穹大陆，重生在一名懦弱的少年身上，更是神奇的获得了一头强大的妖兽分身。
???     在妖兽界，他叱咤风云，在人类中，他搅动乾坤！
???     手掌八卦炉，心存凌云志，行走在武道巅峰道路上，他脚踏苍穹，拳扫乾坤——
???     一力定九州！
???     ——————
???     已完成《异世药神》《升级专家》《紫心传说》《星际士兵异界游》四本vip作品，人品保证，绝不TJ！
???"
1389,"韩娱之璀璨人生","守一世清贫","职场小说",28016,9,166217,149,0,"VIP作品","新书上传","专属作品","2016/8/24 1:13","　　一个地地道道的韩流宅男，重生于十年前的韩国，凭借着各种的抄袭，他在这片土地上演绎了自己的璀璨人生。
???     记者：“作为国民综艺策划，到底是什么让你策划出了《X－man》、《无限挑战》、《家族诞生》、《两天一夜》、《RunningMan》等王牌综艺”
???     杨航在心里笑着回答：“只要你重生，你也能做到。”
???     记者：“作为最有影响力的编剧和导演，你那些天马行空的灵感是哪里来的？”
???     杨航在心里笑着回答：“只要你重生，你也能做到。”
???     记者：“作为杨航的至亲，你们对他的印象是什么？”
???     “我们能说假话吗：”
???     “可以。”
???     “善良，坚强，阳光，有担当。“刘在石、李孝利、金钟国等一众明星都心不在焉的随便说了一下。
???     ”那真话呢？“
???     ”狡猾，毒舌，没大没小、欺软怕硬、胆小如鼠。。。。”刘在石等人争先恐后的说起来"
1390,"动漫热","妖娆血花","科幻小说",1202900,33,1217706,8264,9.7,"公众作品","新书上传","Ａ级签约","2015/3/13 21:16","　　一扇门打开，就是一个世界。
???     一扇门关闭，就是另一个世界。
???     那些带给我们热血沸腾的动漫世界就是无数道门，等着一个男人去推开。
???     他用自己的能力去不断证明，存在着就有可能改变世界。
???     ......
???     记忆中那些活灵活现的人物出现在你的生活中，我们会捕捉到画面感。
???     生活中那些热血沸腾的大事件围绕着主角，我们称之为代入感。
???     而这本书就是将这些感受揉和在一起，展开无尽联想的那一抹热度。
???     《柯南》《死w笔记》《猎人》《死神》《火影》《海贼》《龙珠》《浪客剑心》《巨人》未完全输入。

???     －－－－－－－－
???     完结四本，妖娆血花作品。"
1391,"闲唐","Devil伟伟","历史小说",349801,34,441102,996,10,"公众作品","新书上传","Ａ级签约","2015/11/7 21:11","　　这是一个现代人回到古代的故事，因为他的加入，原本的大唐变得不同寻常了起来，一个闲人，一个很懒很懒的人，迫于生活，只好搞搞发明，挣挣小钱，玩玩小手段。

???     睡觉睡到自然醒，数钱数到手抽筋，这种追求才是人生真谛的所在。

???     钱不用多，无边就行。

???     权不用高，保命便可。

???     这便是一个‘小人物’的发展史。

???"
