"人气排序","小说名称","作者","小说类型","总点击数","会员周点击数","总字数","评论数","评分","小说性质","写作进程","授权状态","更新时间","内容简介"
375,"重启大明","荆洚晓","历史小说",648605,138,3636818,4357,9.4,"公众作品","新书上传","Ａ级签约","2015/8/23 11:05","　　同历国难、同行军伍、同为囚友、同受膻腥之苦——如此君臣谁可离间？忠勇丁一长在帝心；厄难处，英雄只手擎天，重启帝国篇章；
???     征平南北、纵横四海、降税除役、解生民之倒悬——千古良相万姓传诵！腹黑丁一汗青重墨。得志时，大明日月旗扬，汉人热血烧燃！"
376,"足球豪门","陈爱庭","体育小说",323520,123,3898223,3245,9.5,"公众作品","已经完本","签约作品","2016/3/11 18:00","　　一个巴西世界杯赌球输钱的_丝球迷，穿越回到四年前，变成了超级富二代。
???     他决心让自己的人生彪悍起来。
???     他渴望让全世界都记住他的名字。
???     所以，他决定，赚世界上最多的钱，买世界上最好的球星，包世界上最大牌的女明星，泡世界上最美的女人。"
377,"全装战姬","月下小狐","科幻小说",142186,15,1465748,3118,9.9,"公众作品","已经完本","Ａ级签约","2015/7/9 15:25","　　从天而降的蔚蓝彗星，不但带来了毁灭大半人类世界的虫兽，也为人类送来了代表希望的魔女。
???     金属与利爪的碰撞，科技与魔法的交汇。
???     究竟，是这个世界将会被虫兽彻底吞噬？
???     还是说，在魔女的带领下人类将会彻底消灭所有虫兽？
???     这些我都不知道，我唯一知道的，就是......
???     我，秦心。
???     是一个魔女，也是一个战士！
???"
378,"我的女友是仙子","先飞看刀","都市小说",309886,75,2718650,8710,9.7,"公众作品","已经完本","Ａ级签约","2015/10/2 14:21","　　这是一本温馨而欢乐的、现代版的《天仙配》。

???     一个自称是天上仙子的女生找上了男主，将他带入了一个他所不知道的三千世界。

???     《西游记》真的只是一本书吗？

???     嫦娥仙子三百年的沉寂，又是在等待谁的到来？

???     神仙们也玩游戏吗？

???     这里有无尽的星辰，这里是狂欢的世界。

???"
379,"天才相师","打眼","都市小说",22504098,234,2825331,100239,9.7,"公众作品","已经完本","Ａ级签约","2015/12/12 16:20","　　铁口直断，一卦千金
???     少年叶天偶得相师传承，究天人之际，通古今之变，为往圣继绝学
???"
380,"穿梭在武侠世界的剑客","黑暗LOLI","科幻小说",626259,61,585198,895,10,"公众作品","已经完本","Ａ级签约","2015/7/19 14:23","　　新坑：请正确使用空间门
???     我有一扇空间门，但是它却不能让我穿越空间。
???     第一次我打开了它，里面走出了一个想要拯救世界的神棍少女，她说的的名字叫托莉雅
???     第二次我又打开了它，里面走出了一个怎么也喂不饱的圆球球，它说它的名字叫滚球兽。
???     第三次……我发誓，我绝对没有打开它，但是谁能够告诉我，这个在我家沙发上，高呼唯有强者才能生存的怪女人是谁？名字？貌似她说她叫女王大人。
???     口胡什么啊，哪有人会叫这个名字的！
???     嗯？什么，你问我的名字？
???     我叫赵昊，赵钱孙李的赵，日天昊的昊。
???     这是一个我跟一群奇怪生物日常的故事。"
381,"玩宝","冬雪晚晴","都市小说",828658,94,1468633,3834,9.7,"公众作品","已经完本","Ａ级签约","2015/7/17 1:23","　　案前古画胜权贵，腰间美玉价连城！
???     一场蓄意的阴谋，让原本的富家大少杨康变得一无所有，就连着宠爱他的父亲也郁郁而终。阴错阳差之下，一枚自幼佩戴的太阴宝鉴，让他时来运转，开启了别样的玩宝人生。
???     名瓷，美玉，古画，青铜接踵而来！
???     玩物丧志，玩宝致富！
???     翻开此书，还你华夏五千年文明！"
382,"武帝丹神","夜色访者","玄幻小说",729821,184,1962046,5139,9.9,"公众作品","已经完本","Ａ级签约","2016/3/5 18:13","　　一代丹道大宗师卫长风，在炼制九劫生死丹的时候遭遇大劫身死丹灭，却不想千年之后在一位同名同姓的卑微少年身上夺舍重生！
???     这一世，他要填补前生所有的遗憾！
???     这一世，他要重炼丹神，再成无上武帝！
???     这一世，他要傲视万古大陆，笑看风起云涌！"
383,"超级科技霸主","落地飞鹰","都市小说",519812,148,1949233,5363,6.8,"公众作品","新书上传","Ａ级签约","2015/12/27 21:01","　　弃少武阳在一次意外中得到了一块未来芯片。
???     “我们四星集团决不能让他手机上市，否则我们将会破产”
???     “不行，你们需要找武阳合作，开发新能源汽车！要不我们就要失去中国的市场了！”德国的总理对着那些汽车巨头建议！
???     “我们需要和武阳合作，让我们微软系统也能够完全三维操做”
???     “武阳开的学校很好，我们应该多和他的学校交流！”哈弗大学校长说道。
???     “不谈了，我要收购你们！”"
384,"药神","静夜寄思","玄幻小说",1594403,144,3162781,6357,9.3,"公众作品","新书上传","Ａ级签约","2016/4/12 18:27","　　药师慕闲表示压力山大，年纪轻轻本来前途无量，却倒霉的穿越到了万年之前。好吧，在这武道荒芜的时代，还好自己可以用前世的渊博知识和技能去开拓未来。不过却发现自己这一生更苦逼，没钱，没实力，没地位，更坑爹的还是自己天生绝脉，不能修炼。
???     慕闲中指竖天，既然老天这么对待他，那他就去创造属于自己的辉煌！
???     钱不够，炼成圣丹无尽财富收入囊中！
???     没实力，极品圣药锻骨塑脉逆天改命碎虚空！
???     没地位，那就踏着万千尸骨登上属于自己的至尊宝座！
???"
385,"穿越民国大商人","昨夜大雨","历史小说",526617,248,1024475,1516,9.5,"公众作品","已经完本","Ａ级签约","2015/9/8 9:06","　　郁郁不得志的郭宇无意中获得神器天珠，得到了可以穿越到民国的能力。

???     他又能为那个时空带去一个怎样不同的民国。

???     可郭宇的理想确是挣钱、泡妞、赚功德，过自己美好的小日子。

???     “不管你是谁，只要敢打扰我的幸福生活，都揍你丫的。”

???     历史在郭宇的胡闹搅动下，变得面目全非。
???     PS:本文请不要与历史过度关联，尽量写爽，绝不虐主"
386,"金庸绝学异世横行","御剑斋","玄幻小说",2012760,45,4384609,11300,9.5,"公众作品","精彩纷呈","Ａ级签约","2016/9/13 14:34","　　茫茫昆吾山，十万零八千。
???     灵缈一剑起，荡尽九州巅。
???     一个现代宅男，重生武侠的世界，成为一个小门派的小师叔，意外发现身怀一个垃圾网页游戏的武学兑换系统，通过它竟然可以兑换到武侠小说中的所有武功。
???     于是乎，九阳神功、九阴真经、独孤九剑、降龙十八掌……
???     种种神功绝技，开始称霸异世江湖……
???     欢迎各位书友加入QQ群（御剑仙盟）：296747560，也可以添加作者微信：yjz－chm，您可以在这里提出您的想法、建议，指出作者的错误，客串书中角色……
???     更有机会领取QQ红包喔！位置有限，快快加入！！！"
387,"武魂觉醒","大昆仑","玄幻小说",233718,47,1813512,595,9.7,"公众作品","已经完本","签约作品","2015/7/1 20:36","　　这个世界存在那么一部分人，是天地的宠儿，被称为“武魂拥有者”！
???     拥有武魂，可让武者修炼速度倍增，可赋予武者强大的能力，远远超于普通武者！
???     叶牧，武魂世家叶家的庶子，因迟迟未能觉醒武魂而遭受族人冷落。
???     可没有任何人料到，当叶牧的奇异武魂“手掌”觉醒，所有武魂拥有者在他的面前，都不过是一个天大的玩笑！
???     叶牧：让一切武魂失效，这就是我的手掌武魂“上帝之手”！"
388,"地狱电影院","黑色火种","灵异小说",1217343,298,3925865,17602,9.4,"公众作品","精彩纷呈","Ａ级签约","2016/10/22 23:54","　　《地狱公寓》《异悚》《死咒岛》后，黑色火种第四部灵异恐怖小说《地狱电影院》来袭！
???     如果你捡到了地狱电影院的恐怖片海报，你将会发现，你的名字会出现在恐怖片演员表之中！然而，你就会被投入这真实的恐怖片内，扮演里面的一个角色，必须按照剧本的要求，随着剧情发展，令人毛骨悚然的奇异诅咒，无处不在的森森鬼影，都将一一降临。黑暗的廊道，寂静的停尸间，你将不得不扮演一部又一部不同恐怖片，有的时候，你是主角，有的时候，也许只是个龙套。唯有攒足赎死券，才能脱离地狱电影院。
???     普通的上班族叶想，在某一日夜班结束后，在黑暗的楼道内，捡到了这样一张恐怖电影海报……
???     本书非《地狱公寓》式纯恐怖文，而是我的转型之作，属变种无限流+玄幻+灵异风格的作品！"
389,"超级战兵","一丝不苟","都市小说",3293119,510,7447035,7378,9.3,"公众作品","连载中","Ａ级签约","2016/10/23 11:47","　　末世“神级”异能强者，灵魂附在了地球特种兵叶天辰的身上，从此逆袭之路，拳拳到肉。
???     让美女痴迷折服，让敌人统统跪下！???     【PS：（本书各大主流平台，点击均破亿，数千万读者追捧，简体书出版上市，销量火爆；繁体书出版上市，港澳台狂销五十万册；影视全版权售出，同名影视剧即将上映。余有游戏、动漫等版权，欢迎洽谈余下版权，都市异能、现代修真内容，也非常适合改编！）】 
???     书群Q号：227085278
???     微信公众号：zblmhuo
???     新浪微博：作者一丝不苟"
390,"仙医妙手","周郎羡","都市小说",1178409,134,2159210,4178,9.2,"公众作品","已经完本","Ａ级签约","2015/7/31 23:34","　　天才绝艳的修仙者穿越都市，成为面临高考的高中生林一航，彪悍的人生从此开始。

???     什么，你考试第一看不起我们差生？靠！老子过目不忘，背完课本打好基础，碾压你只是秒秒钟的事情。

???     什么，你是毕业于英国帝国理工学院的高材生，医术牛逼？靠！活死人肉白骨都不会，你敢说自己是医生？我代表祖国人民鄙视你！

???     什么，你是赌石高手，捡漏名人？哦，这个真不会……不知道点石成金算不算？"
391,"英雄联盟之女主播","可乐中毒","游戏小说",814039,31,1925084,7985,9.5,"公众作品","已经完本","Ａ级签约","2015/4/15 11:46","　　额……重生了，而且还附送“永久变身”被动，身份是一名女解说，平时的工作是解说比赛，并且带动全场气氛，还好的是，解说的内容是那款叫做《英雄联盟》的游戏。这是一个原英雄联盟职业玩家男，穿越到平行世界做现英雄联盟解说女的故事。
???     看到自己直播订阅那惨不忍睹的数据，他觉得，他是时候表演真正的技术了。
???     _________新书，《重生完美女神》"
392,"极品小农场","名窑","都市小说",1519336,1084,6403207,53837,9.4,"公众作品","情节展开","Ａ级签约","2016/10/22 23:58","　　喧嚣的城市，抛弃浮躁的立足之地，踏上异国他乡，做个悠哉小农民。
???     喝啤酒，做小菜，吃牛羊烧烤，在小池塘养鱼，三五鱼虾，来一锅鲜美汤。
???     春有百花姹紫嫣红，秋有明月皓皓长空，夏有绿荫凉风拂面，冬有白雪皑皑玉洁。
???     于林间盖一小屋，陋室无名，无仙也灵，让灵魂自在飞"
393,"逆袭万岁","霞飞双颊","都市小说",1267086,98,2919904,21189,9.9,"公众作品","新书上传","Ａ级签约","2016/10/13 0:14","　　林东做了一个梦，他梦见自己穿越了，还在一个奇妙的修真世界里游荡了十年。
???     梦醒，却惊而发现这是真的。
???     在修真世界混很苦逼一直是战五渣般存在的林东同学，在现代都市里，他发现自己简直无所不能，逆袭白富美什么的，真心不要太容易！
???     霞飞书迷普通群：42787338
???     逆袭万岁群：128817241(需起点账号）
???     霞飞之大神之光群：215309958（大神之光或霞飞任意一本书的粉丝值到护法以上）"
