Date,Package,Title,,
2020/5/1,recipes,Preprocessing Tools to Create Design Matrices,,
2020/5/1,rematch2,Tidy Output from Regular Expression Matching,,
2020/5/1,RSCABS,Rao-Scott Cochran-Armitage by Slices Trend Test,,
2020/5/1,squashinformr,Politely Web Scrape Data from SquashInfo,,
2020/5/1,utile.tables,Build Tables for Publication,,
2020/5/1,utile.visuals,Create Visuals for Publication,,
2020/5/1,WVPlots,Common Plots for Analysis,,
2020/4/30,Boom,Bayesian Object Oriented Modeling,,
2020/4/30,BsMD,Bayes Screening and Model Discrimination,,
2020/4/30,bst,Gradient Boosting,,
2020/4/30,cgmanalysis,Clean and Analyze Continuous Glucose Monitor Data,,
2020/4/30,cheese,Tools for Working with Data During Statistical Analysis,,
2020/4/30,circlize,Circular Visualization,,
2020/4/30,collections,High Performance Container Data Types,,
2020/4/30,data360r,Wrapper for 'TCdata360' and 'Govdata360' API,,
2020/4/30,dataCompareR,Compare Two Data Frames and Summarise the Difference,,
2020/4/30,DescTools,Tools for Descriptive Statistics,,
2020/4/30,dmdScheme,Domain Specific MetaData Scheme,,
2020/4/30,estudy2,An Implementation of Parametric and Nonparametric Event Study,,
2020/4/30,esvis,Visualization and Estimation of Effect Sizes,,
2020/4/30,germanpolls,German Polling Data,,
2020/4/30,idiogramFISH,Idiograms with Marks and Karyotype Indices,,
2020/4/30,ipumsr,Read 'IPUMS' Extract Files,,
2020/4/30,JavaGD,Java Graphics Device,,
2020/4/30,jquerylib,Obtain 'jQuery' as an HTML Dependency Object,,
2020/4/30,liayson,"Linking Singe-Cell Transcriptomes Atween Contemporary
Subpopulation Genomes",,
2020/4/30,maic,Matching-Adjusted Indirect Comparison,,
2020/4/30,mnormt,The Multivariate Normal and t Distributions,,
2020/4/30,modelr,Modelling Functions that Work with the Pipe,,
2020/4/30,modelsummary,"Summary Tables for Statistical Models: Beautiful, Customizable,
and Publication-Ready",,
2020/4/30,mokken,Conducts Mokken Scale Analysis,,
