sbid,tenure,expense,COUNT,perperson,entropy,chgexpense,chgcount,churn
1445489485,3559,139.3,212,2.333632076,4.673887581,-0.265334107,-0.281355932,0
1445489517,3560,104.1,33,3.963030303,2.605438865,0.000961539,0.064516129,0
1445489583,3561,239.35,57,4.561578947,3.368998513,0.612653281,-0.219178082,0
1445489633,3561,182.11,42,5.288571429,2.854230303,0.20236366,0.135135135,0
1445489636,2545,311.95,83,22.33301205,2.743064775,0.077919834,0.152777778,0
1445489653,3544,267.74,61,3.131639344,3.418932723,0.543703875,0.016666667,0
1445489686,3042,76.92,51,9.681568628,2.572855312,-0.290078449,-0.037735849,0
1445489724,2760,117.7,42,9.095238095,2.680950528,0.136758741,0.35483871,0
1445489809,2328,168.46,105,5.628,3.865101781,0.050052983,-0.07079646,0
1445489810,3557,148.65,148,5.504256757,4.352180383,-0.2561177,-0.026315789,0
1445489814,2105,45.27,31,2.16,2.780846639,-0.421395706,-0.354166667,0
1445489816,3055,89.6,77,3.838051948,3.50236369,0.001117318,-0.025316456,0
1445489830,3553,225.23,119,4.095294118,3.656445295,-0.391599136,-0.227272727,0
1445489852,3495,386.81,122,6.412786885,4.117360735,0.230311705,-0.054263566,0
1445489885,2651,211.35,152,4.359539474,4.379402906,0.1048092,0.394495413,0
1445489902,2062,154,97,3.764742268,4.054120692,0,0.405797101,0
1445489924,3597,254.69,169,7.52887574,4.388151177,-0.24163292,-0.277777778,0
1445489948,2760,236.47,181,5.551878453,4.536860983,0.002841391,0.124223603,0
1445489954,3599,318.49,83,4.094939759,3.756135787,-0.02258708,0.0375,0
1445490057,3558,164.61,209,3.604545455,4.08699776,0.136809392,0.431506849,0
1445490058,4484,169.74,58,3.950862069,3.377508197,0.082387451,0.054545455,0
1445490101,2748,356.1,65,6.500461539,3.527303329,0.164105917,0.031746032,0
1445490117,4484,279.04,127,5.452283465,4.139405176,-0.000394053,0.067226891,0
1445490184,2766,95.8,88,8.711931818,3.661826938,-0.267304015,-0.278688525,0
1445490194,2326,245.5,122,6.879262295,3.830387304,-0.00203252,-0.046875,0
1445490240,2046,106.76,41,4.091219512,2.693554627,-0.269467634,-0.349206349,0
1445490253,2580,165.8,139,6.980719425,3.972372002,-0.122565622,0.230088496,0
1445490278,3542,122.98,42,6.383571429,3.024758862,0.139336669,-0.263157895,0
1445490329,2959,240.43,180,6.297888889,4.203376824,0.020500849,0,0
1445490337,3559,240.95,204,6.800833333,4.406576529,-0.057979514,-0.170731707,0
1445490411,2048,84.5,44,3.419090909,3.267881544,-0.039772727,0.62962963,0
1445490422,2724,329.55,118,16.25432203,3.414206025,0.160428184,0.282608696,0
1445490463,2712,199.5,13,17.19384615,1.496553795,-0.336878843,-0.434782609,0
1445490473,2711,387,139,12.48316547,3.591105867,-0.025188917,-0.157575758,0
1445490478,2717,147.57,146,10.0910274,3.973962646,-0.140485759,0.035460993,0
1445490542,3615,370.49,240,7.501583333,4.432142687,0.076849295,0.034482759,0
1445490565,3547,86.3,41,6.567073171,2.548125592,-0.010321101,0,0
1445490580,3559,164.38,97,4.978041237,3.717759683,0.020043438,0.043010753,0
1445490623,4480,265.69,60,10.799,3.014669123,0.104877947,-0.130434783,0
1445490635,2581,276,127,3.32976378,4.156825456,-0.002529816,0.085470086,0
1445490640,2695,87,9,6.338888889,1.192378056,-0.043956044,-0.25,0
1445490668,3550,104.52,21,1.521904762,2.690162908,-0.124036205,-0.363636364,0
1445490685,3547,145.95,62,3.208548387,3.457471969,0.035473572,0.169811321,0
1445490691,2300,194,127,5.693543307,4.125367285,0,0.309278351,0
1445490703,2576,77.83,69,11.36927536,2.949611093,0.235396825,-0.08,0
1445490727,2465,193,128,6.121953125,3.877477321,0.00709664,0.05785124,0
1445490735,3551,229.8,37,9.981891892,2.028537442,0.07776006,-0.288461538,0
1445490745,4481,218,141,6.86787234,4.091438281,-0.006697954,-0.078431373,0
1445490765,4482,179,158,2.767721519,3.916341576,0,-0.107344633,0
1445490772,3557,91.2,55,4.412545455,3.096730242,0.001097695,0.447368421,0
1445490805,4481,217.65,59,4.92440678,3.473410725,0.139469138,0.072727273,0
1445490826,2558,359.65,177,11.31079096,4.159136216,-0.126108614,-0.087628866,0
1445490835,3543,260.2,110,11.47490909,3.453590015,-0.253264457,0.134020619,0
1445490838,3547,149.05,202,5.901435644,4.371188207,0.030703271,-0.056074766,0
1445490860,4541,233.52,179,6.482513967,4.514677781,-0.270477976,-0.057894737,0
1445490890,2717,153.41,86,6.631162791,3.597042512,0.235185185,-0.033707865,0
1445490949,3995,176.24,155,4.986709677,4.371458921,0.12548694,0.409090909,0
1445490953,4483,206.3,81,7.943333333,3.367428196,0.012614735,-0.119565217,0
1445490960,3561,159.04,139,5.729208633,4.283899446,0.2359341,-0.157575758,0
1445490966,4481,221.77,94,3.717340426,3.813144232,-0.079525173,-0.265625,0
1445490985,2438,218.4,149,5.489530201,3.854286947,0.065106072,-0.153409091,0
1445490987,3556,310.96,190,10.49331579,4.336469025,0.149872425,-0.010416667,0
1445490998,4490,53.85,83,3.594216868,3.595432409,-0.24958194,-0.077777778,0
1445491017,2472,305.47,89,6.936853933,3.685538069,0.001606663,0.085365854,0
1445491060,4483,230.5,107,5.974953271,4.013859562,0.182839842,0.150537634,0
1445491091,2725,183.93,124,7.696451613,3.778560292,-0.049702919,-0.107913669,0
1445491155,2579,40,40,7.0435,2.682782086,-0.118748623,-0.333333333,0
1445491162,4485,103.38,57,9.549473684,2.920712326,-0.170637786,-0.219178082,0
1445491230,4490,288.99,127,7.441496063,3.563005064,0.148426323,0.175925926,0
1445491235,4483,206.9,96,3.735,3.834397587,-0.009573959,0.021276596,0
1445491279,3940,81,42,14.64214286,2.255487374,0.396551724,-0.275862069,0
1445491289,2956,109,47,5.238297872,3.216880159,-0.001831502,-0.145454545,0
1445491305,3544,322.9,48,10.34291667,2.803192745,0.36845228,0,0
1445491375,4481,78.8,30,5.289333333,2.792472895,0.08839779,-0.230769231,0
1445491445,4483,239.64,78,5.266666667,3.32426986,-0.116110947,-0.327586207,0
1445491482,4483,425.46,28,5.408214286,2.797736197,-0.175289306,0.473684211,0
1445491498,2557,222.85,113,9.30460177,3.790170175,-0.241103354,-0.050420168,0
1445491501,4483,133,94,2.661702128,3.784737618,0,0.068181818,0
1445491527,4481,381.37,154,10.42636364,3.992033527,-0.067555012,0.006535948,0
1445491582,3559,174.39,71,5.111267606,3.231177292,0.075154131,-0.12345679,0
1445491592,3557,172.16,203,8.797339902,4.468116599,0.471075793,-0.014563107,0
1445491609,2092,147.81,81,6.569012346,3.293031651,-0.016893914,0.246153846,0
1445491620,4483,261.84,139,6.48028777,4.07901748,0.205191936,0.263636364,0
1445491622,3558,266.18,156,12.58974359,4.064054133,-0.152967383,0.02631579,0
1445491629,2729,160,166,6.799096386,4.385927483,0.002443456,-0.045977011,0
